,run_ID,patch_size,test_region,val_region,train_loss,val_loss,epoch_stopped,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,dropout,lr,weight_decay,batch_size
20,T-Mul_V-Win_15px_2026-07-22,15,Mula,Winam,0.04871126907175328,0.13386342670848167,14,0.9569784998893738,0.9572139382362366,0.9524752497673035,0.9620000123977661,0.9883723855018616,0.9839082360267639,0.9839016199111938,0.9825226664543152,0.9852843880653381,0.998211145401001,0.3915741122102389,0.0012123634441485443,0.0008826466130239893,64
21,T-Inl_V-Har_15px_2026-07-22,15,Inle,Hartbeespoort,0.13444635651449804,0.08564546246697584,11,0.9822834730148315,0.9822310209274292,0.9716796875,0.9930139780044556,0.9980117082595825,0.9537714719772339,0.9535306692123413,0.9538461565971375,0.9532154202461243,0.988106369972229,0.323540359302987,0.008590800523740923,0.007553503645583194,64
22,T-Inl_V-Rod_15px_2026-07-22,15,Inle,Rodman,0.10684259262939112,0.223557238801803,17,0.9265425801277161,0.9285714030265808,0.9044526815414429,0.9540117383003235,0.9708434343338013,0.9647649526596069,0.9646981358528137,0.9594749808311462,0.9699784517288208,0.9917684197425842,0.323540359302987,0.008590800523740923,0.007553503645583194,64
23,T-Inl_V-Mul_15px_2026-07-22,15,Inle,Mula,0.12250461256758868,0.22868796366061944,13,0.9324324131011963,0.9306243658065796,0.9251231551170349,0.9361914396286011,0.9686599969863892,0.9614591002464294,0.9615669250488281,0.9572341442108154,0.9659391641616821,0.9888749122619629,0.323540359302987,0.008590800523740923,0.007553503645583194,64
24,T-Inl_V-Vem_15px_2026-07-22,15,Inle,Vembanad,0.1306575989940481,0.1181903124864136,11,0.9585414528846741,0.959293782711029,0.9431051015853882,0.976047933101654,0.9922804832458496,0.9580700993537903,0.957987368106842,0.9528949856758118,0.9631344079971313,0.987503707408905,0.323540359302987,0.008590800523740923,0.007553503645583194,64
25,T-Inl_V-Val_15px_2026-07-22,15,Inle,Valsequillo,0.18984782627942934,0.14470243274289019,5,0.947549045085907,0.9470034837722778,0.9569569826126099,0.9372549057006836,0.9858083724975586,0.9364556670188904,0.9361138939857483,0.9344126582145691,0.9378212690353394,0.9765214323997498,0.323540359302987,0.008590800523740923,0.007553503645583194,64
26,T-Inl_V-Raw_15px_2026-07-22,15,Inle,RawaPening,0.12977904899826373,0.0989668108039088,13,0.9655344486236572,0.9660266041755676,0.9533527493476868,0.9790419340133667,0.9939860105514526,0.958972692489624,0.9586981534957886,0.9580650329589844,0.9593321084976196,0.9879339933395386,0.323540359302987,0.008590800523740923,0.007553503645583194,64
27,T-Inl_V-Win_15px_2026-07-22,15,Inle,Winam,0.1371045101926012,0.18935651669540574,15,0.9509754776954651,0.9522417187690735,0.9287072420120239,0.9769999980926514,0.964919924736023,0.953404426574707,0.953150749206543,0.9514243602752686,0.9548835158348083,0.9871116876602173,0.323540359302987,0.008590800523740923,0.007553503645583194,64
28,T-Vem_V-Har_15px_2026-07-22,15,Vembanad,Hartbeespoort,0.06585249969163386,0.07525043074210269,12,0.9763779640197754,0.9760000109672546,0.9779559373855591,0.9740518927574158,0.9944421052932739,0.9773755669593811,0.9772708415985107,0.976867139339447,0.9776749014854431,0.9967933893203735,0.28933092858186743,0.0008924312601060753,1.0719864040714892e-06,64
29,T-Vem_V-Rod_15px_2026-07-22,15,Vembanad,Rodman,0.049372497862285425,0.14188217586973623,20,0.950538694858551,0.9513252973556519,0.9373219609260559,0.965753436088562,0.9883226156234741,0.9833676218986511,0.9832975268363953,0.9800560474395752,0.9865604639053345,0.9979897737503052,0.28933092858186743,0.0008924312601060753,1.0719864040714892e-06,64
30,T-Vem_V-Mul_15px_2026-07-22,15,Vembanad,Mula,0.060221872381862905,0.2394409642544032,9,0.9068532586097717,0.8986876606941223,0.949002206325531,0.8534396886825562,0.975403904914856,0.9805200099945068,0.9805280566215515,0.978268027305603,0.9827985167503357,0.9972068667411804,0.28933092858186743,0.0008924312601060753,1.0719864040714892e-06,64
31,T-Vem_V-Inl_15px_2026-07-22,15,Vembanad,Inle,0.048990168714871545,0.059885752283036706,26,0.9819999933242798,0.9821605682373047,0.9734774231910706,0.9909999966621399,0.9970720410346985,0.9835070371627808,0.9834144711494446,0.9817133545875549,0.985121488571167,0.9982751607894897,0.28933092858186743,0.0008924312601060753,1.0719864040714892e-06,64
32,T-Vem_V-Val_15px_2026-07-22,15,Vembanad,Valsequillo,0.2666297904969812,0.18156792498102375,1,0.938725471496582,0.9377179741859436,0.9533941149711609,0.9225490093231201,0.9785207509994507,0.8935539722442627,0.892723798751831,0.8930943012237549,0.8923536539077759,0.9569681286811829,0.28933092858186743,0.0008924312601060753,1.0719864040714892e-06,64
33,T-Vem_V-Raw_15px_2026-07-22,15,Vembanad,RawaPening,0.05009415967410578,0.10814514749503874,18,0.9640359878540039,0.9649805426597595,0.9411764740943909,0.9900199770927429,0.994255542755127,0.9832581281661987,0.9831544160842896,0.981857180595398,0.9844551086425781,0.9981431365013123,0.28933092858186743,0.0008924312601060753,1.0719864040714892e-06,64
34,T-Vem_V-Win_15px_2026-07-22,15,Vembanad,Winam,0.066781314131463,0.09544774709656563,14,0.970985472202301,0.9710578918457031,0.9691234827041626,0.9729999899864197,0.9913233518600464,0.9767804145812988,0.9766520857810974,0.9748023748397827,0.9785088300704956,0.996741533279419,0.28933092858186743,0.0008924312601060753,1.0719864040714892e-06,64
