,S2_img_id,S2_time,cloud_perc,date,location,S1_img_id,S1_time
120,COPERNICUS/S2_SR_HARMONIZED/20240103T051219_20240103T052207_T43PFL,1704259581692,14.79589,2024-01-03,Vembanad,,
121,COPERNICUS/S2_SR_HARMONIZED/20240113T051159_20240113T051714_T43PFL,1705123579403,8.196123,2024-01-13,Vembanad,,
122,COPERNICUS/S2_SR_HARMONIZED/20240118T051131_20240118T052357_T43PFL,1705555572302,0.010485,2024-01-18,Vembanad,,
123,COPERNICUS/S2_SR_HARMONIZED/20240123T051119_20240123T052221_T43PFL,1705987580405,9.620848,2024-01-23,Vembanad,,
124,COPERNICUS/S2_SR_HARMONIZED/20240128T051051_20240128T052303_T43PFL,1706419576059,0.112791,2024-01-28,Vembanad,,
125,COPERNICUS/S2_SR_HARMONIZED/20240202T051029_20240202T052012_T43PFL,1706851578218,10.390809,2024-02-02,Vembanad,,
126,COPERNICUS/S2_SR_HARMONIZED/20240207T051001_20240207T052026_T43PFL,1707283577091,3.564452,2024-02-07,Vembanad,,
127,COPERNICUS/S2_SR_HARMONIZED/20240212T050939_20240212T051719_T43PFL,1707715582066,5.175322,2024-02-12,Vembanad,,
128,COPERNICUS/S2_SR_HARMONIZED/20240217T050901_20240217T051716_T43PFL,1708147579146,7.788024,2024-02-17,Vembanad,,
129,COPERNICUS/S2_SR_HARMONIZED/20240222T050829_20240222T051835_T43PFL,1708579581643,16.193449,2024-02-22,Vembanad,,
130,COPERNICUS/S2_SR_HARMONIZED/20240227T050751_20240227T052054_T43PFL,1709011580521,15.937613,2024-02-27,Vembanad,,
131,COPERNICUS/S2_SR_HARMONIZED/20240303T050719_20240303T051936_T43PFL,1709443577911,1.139894,2024-03-03,Vembanad,,
132,COPERNICUS/S2_SR_HARMONIZED/20240308T050651_20240308T052226_T43PFL,1709875581757,20.460336,2024-03-08,Vembanad,,
133,COPERNICUS/S2_SR_HARMONIZED/20240313T050649_20240313T052012_T43PFL,1710307578352,19.717003,2024-03-13,Vembanad,,
134,COPERNICUS/S2_SR_HARMONIZED/20240318T050651_20240318T052150_T43PFL,1710739581795,19.129808,2024-03-18,Vembanad,,
135,COPERNICUS/S2_SR_HARMONIZED/20240402T050649_20240402T051718_T43PFL,1712035575265,25.252923,2024-04-02,Vembanad,,
136,COPERNICUS/S2_SR_HARMONIZED/20240402T050649_20240402T052612_T43PFL,1712035582171,28.754747,2024-04-02,Vembanad,,
137,COPERNICUS/S2_SR_HARMONIZED/20240507T050651_20240507T051848_T43PFL,1715059583776,16.214919,2024-05-07,Vembanad,,
138,COPERNICUS/S2_SR_HARMONIZED/20241103T050951_20241103T052004_T43PFL,1730611579937,15.630804,2024-11-03,Vembanad,,
139,COPERNICUS/S2_SR_HARMONIZED/20241208T051119_20241208T052013_T43PFL,1733635581867,12.816143,2024-12-08,Vembanad,,
140,COPERNICUS/S2_SR_HARMONIZED/20241218T051129_20241218T052508_T43PFL,1734499582028,13.797811,2024-12-18,Vembanad,,
141,COPERNICUS/S2_SR_HARMONIZED/20241223T051231_20241223T052219_T43PFL,1734931581665,5.068156,2024-12-23,Vembanad,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20241223T004116_20241223T004141_057112_070575_EB2A,1734914476000.0
142,COPERNICUS/S2_SR_HARMONIZED/20250107T051119_20250107T051747_T43PFL,1736227581466,0.231168,2025-01-07,Vembanad,,
143,COPERNICUS/S2_SR_HARMONIZED/20250112T051151_20250112T052421_T43PFL,1736659578253,8.835537,2025-01-12,Vembanad,,
144,COPERNICUS/S2_SR_HARMONIZED/20250117T051039_20250117T052047_T43PFL,1737091579739,0.001662,2025-01-17,Vembanad,,
145,COPERNICUS/S2_SR_HARMONIZED/20250127T051009_20250127T052104_T43PFL,1737955583689,24.955724,2025-01-27,Vembanad,,
146,COPERNICUS/S2_SR_HARMONIZED/20250206T050909_20250206T052454_T43PFL,1738819582600,3.978876,2025-02-06,Vembanad,,
147,COPERNICUS/S2_SR_HARMONIZED/20250216T050809_20250216T052111_T43PFL,1739683585797,7.543898,2025-02-16,Vembanad,,
148,COPERNICUS/S2_SR_HARMONIZED/20250221T050851_20250221T052428_T43PFL,1740115603331,6.785475,2025-02-21,Vembanad,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250221T004112_20250221T004137_057987_072837_4138,1740098472000.0
149,COPERNICUS/S2_SR_HARMONIZED/20250226T050659_20250226T051939_T43PFL,1740547584633,8.681194,2025-02-26,Vembanad,,
150,COPERNICUS/S2_SR_HARMONIZED/20250308T050659_20250308T051834_T43PFL,1741411584101,23.215193,2025-03-08,Vembanad,,
151,COPERNICUS/S2_SR_HARMONIZED/20250313T050711_20250313T052339_T43PFL,1741843604098,11.209694,2025-03-13,Vembanad,,
152,COPERNICUS/S2_SR_HARMONIZED/20250315T051241_20250315T051235_T43PFL,1742016393815,16.285874,2025-03-15,Vembanad,,
153,COPERNICUS/S2_SR_HARMONIZED/20250318T050659_20250318T051418_T43PFL,1742275583538,5.908151,2025-03-18,Vembanad,,
154,COPERNICUS/S2_SR_HARMONIZED/20250323T050711_20250323T052426_T43PFL,1742707603930,7.41182,2025-03-23,Vembanad,,
155,COPERNICUS/S2_SR_HARMONIZED/20250328T050659_20250328T052423_T43PFL,1743139583062,3.070449,2025-03-28,Vembanad,,
156,COPERNICUS/S2_SR_HARMONIZED/20250404T051241_20250404T052458_T43PFL,1743744393088,23.260662,2025-04-04,Vembanad,,
157,COPERNICUS/S2_SR_HARMONIZED/20250424T051241_20250424T051722_T43PFL,1745472395401,26.055697,2025-04-24,Vembanad,,
158,COPERNICUS/S2_SR_HARMONIZED/20250914T050649_20250914T051421_T43PFL,1757827579550,26.450744,2025-09-14,Vembanad,,
159,COPERNICUS/S2_SR_HARMONIZED/20251213T051119_20251213T052354_T43PFL,1765603579042,7.201584,2025-12-13,Vembanad,,
160,COPERNICUS/S2_SR_HARMONIZED/20251220T051241_20251220T052615_T43PFL,1766208398112,7.872628,2025-12-20,Vembanad,,
161,COPERNICUS/S2_SR_HARMONIZED/20251223T051129_20251223T051848_T43PFL,1766467580076,4.407874,2025-12-23,Vembanad,,
162,COPERNICUS/S2_SR_HARMONIZED/20251228T051231_20251228T052411_T43PFL,1766899588814,5.668193,2025-12-28,Vembanad,,
