system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
0_100_0,58,53,134,73,66,79,100,117,122,117,2,open_water,RO0101_20241024,29.51827641288233,0,Rodman,-81.89887583678043,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_101_0,61,39,119,69,77,70,87,101,82,89,2,open_water,RO0102_20241024,29.517380132082042,0,Rodman,-81.89269751677519,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_102_0,85,56,146,96,99,166,145,191,186,173,2,open_water,RO0103_20241024,29.516782607138442,0,Rodman,-81.8866908167701,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_103_0,53,36,116,82,56,78,71,102,73,69,2,open_water,RO0104_20241024,29.51517674137099,0,Rodman,-81.89209684677468,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_104_0,100,57,115,138,95,212,139,152,153,135,2,open_water,RO0105_20241024,29.524848896182608,0,Rodman,-81.91140409679106,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_105_0,52,28,131,78,69,93,78,97,89,79,2,open_water,RO0106_20241024,29.512898609011497,0,Rodman,-81.90591225678641,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106_0,45,23,140,79,58,76,57,69,73,64,2,open_water,RO0107_20241024,29.510284295580803,0,Rodman,-81.901922091783,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_107_0,48,30,111,42,58,49,42,53,55,44,2,open_water,RO0108_20241024,29.507296426126434,0,Rodman,-81.88870735177181,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_108_0,45,33,127,51,63,54,56,50,54,45,2,open_water,RO0109_20241024,29.507819309646816,0,Rodman,-81.88055540176488,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_109_0,47,27,130,66,63,60,59,76,63,77,2,open_water,RO0110_20241024,29.51592365885107,0,Rodman,-81.87849596176312,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_110_0,50,33,115,56,62,58,43,86,64,61,2,open_water,RO0111_20241024,29.512599833751107,0,Rodman,-81.87133082675707,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
